HIP	TYC	VarName
97150	2151  5896 1	SU_Cyg
97309	2139  2370 1	BR_Vul
97439	3148   315 1	V1154_Cyg
97717	2148  4057 1	SV_Vul
97794	5733  1589 1	V1162_Aql
97804	 480  3027 1	eta_Aql
98085	1616   837 1	S_Sge
98212	2149   741 1	X_Vul
98217	1075  2154 1	V733_Aql
98376	2153  2761 1	GH_Cyg
98553	1617  1311 1	KL_Aql
98852	2678   210 1	CD_Cyg
99276	2683  1235 1	V402_Cyg
99567	2675   527 1	MW_Cyg
99887	2680  1262 1	V495_Cyg
101393	3573  1534 1	SZ_Cyg
102276	2695  4136 1	X_Cyg
102949	2183  2726 1	T_Vul
103191	2183  2731 1	BW_Vul
103241	3579  1443 1	V520_Cyg
103433	3171  1769 1	VX_Cyg
103656	3176  1217 1	TX_Cyg
104002	3172  1510 1	VY_Cyg
104185	2701  3917 1	DT_Cyg
104371	2701  3918 1	V389_Cyg
104371	2701  3919 1	V389_Cyg
104564	3596   297 1	V459_Cyg
104877	3177  1000 1	V386_Cyg
105269	3169  3875 1	V1334_Cyg
105369	3589  4843 1	V532_Cyg
105614	1110  1376 1	SY_Equ
105653	1667  1093 1	AU_Peg
106032	4465  2643 1	bet_Cep
106754	3603  1495 1	V538_Cyg
107899	3197  2856 1	VZ_Cyg
108426	4262  1009 1	IR_Cep
108427	3972   139 1	CP_Cep
108630	3210  1636 1	BG_Lac
109340	3618  3246 1	Y_Lac
109505	4267   251 1	V447_Cep
110964	3995  1462 1	AK_Cep
110968	3619  2726 1	V411_Lac
110991	3995  1479 1	del_Cep
111972	3992  1548 1	Z_Lac
112026	3992  2406 1	RR_Lac
112031	3218  2413 1	DD_Lac
112430	3996   338 1	CR_Cep
112626	3992  2738 1	V_Lac
112675	3992  2327 1	X_Lac
113281	3223  3620 1	EN_Lac
114160	4010  2235 1	SW_Cas
115390	4283  1264 1	CH_Cas
115925	4284   433 1	CY_Cas
116556	4284   674 1	RS_Cas
116684	4012  1061 1	DW_Cas
117154	4285   603 1	CD_Cas
117690	4013  1168 1	RY_Cas
118122	4285   314 1	DD_Cas
118174	4281  1902 1	CF_Cas
